Absorb
	description: A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Bonemerang
	description: The user throws the bone it holds. The bone loops around to hit the target twice—coming and going.
	type: Ground
	category: Physical
	power: 50
	accuracy: 90
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Bone Rush
	description: The user strikes the target with a hard bone two to five times in a row.
	type: Ground
	category: Physical
	power: 25
	accuracy: 90
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Bone Twirl
	description: The user playfully twirls its Bone Baton to attack. The attack hits 2-5 times, but will always hit 5 times at maximum Happiness.
	type: Normal
	category: Physical
	power: 25
	accuracy: 90
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Boomburst
	description: The user attacks everything around it with the destructive power of a terrible, explosive sound.
	type: Normal
	category: Special
	power: 140
	accuracy: 100
	target: allAdjacent
	crit: 0
	priority: 0
	drain: False
	effects: []
Bouncy Bubble
	description: 
	type: Water
	category: Special
	power: 60
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: True
	effects: []
Branch Poke
	description: 
	type: Grass
	category: Physical
	power: 40
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Brick Break
	description: The user attacks with a swift chop. It can also break barriers, such as Light Screen and Reflect.
	type: Fighting
	category: Physical
	power: 75
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Brine
	description: If the target's HP is half or less, this attack will hit with double the power.
	type: Water
	category: Special
	power: 65
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Brutal Swing
	description: The user swings its body around violently to inflict damage on everything in its vicinity.
	type: Dark
	category: Physical
	power: 60
	accuracy: 100
	target: allAdjacent
	crit: 0
	priority: 0
	drain: False
	effects: []
Bug Bite
	description: The user bites the target. If the target is holding a Berry, the user eats it and gains its effect.
	type: Bug
	category: Physical
	power: 60
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Bullet Punch
	description: The user strikes the target with tough punches as fast as bullets. This move always goes first.
	type: Steel
	category: Physical
	power: 40
	accuracy: 100
	target: normal
	crit: 0
	priority: 1
	drain: False
	effects: []
Bullet Seed
	description: The user forcefully shoots seeds at the target two to five times in a row.
	type: Grass
	category: Physical
	power: 25
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Burn Up
	description: To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type.
	type: Fire
	category: Special
	power: 130
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Camouflage
	description: The user's type is changed depending on its environment, such as at water's edge, in grass, or in a cave.
	type: Normal
	category: Status
	power: 0
	accuracy: 101
	target: self
	crit: 0
	priority: 0
	drain: False
	effects: []
Cat Burglary
	description: The user swiftly and cunningly steals the target's stat boosts, and then attacks. Bypasses substitutes.
	type: Normal
	category: Physical
	power: 80
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Celebrate
	description: The Pokémon congratulates you on your special day!
	type: Normal
	category: Status
	power: 0
	accuracy: 101
	target: self
	crit: 0
	priority: 0
	drain: False
	effects: []
Chip Away
	description: Looking for an opening, the user strikes consistently. The target's stat changes don't affect this attack's damage.
	type: Normal
	category: Physical
	power: 70
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Circle Throw
	description: The target is thrown, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon.
	type: Fighting
	category: Physical
	power: 60
	accuracy: 90
	target: normal
	crit: 0
	priority: -6
	drain: False
	effects: []
Clear Smog
	description: The user attacks by throwing a clump of special mud. All stat changes are returned to normal.
	type: Poison
	category: Special
	power: 50
	accuracy: 101
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Combardment
	description: The user unleashes an all-out attack with its Combee Mace. It deals damage using the target's Defense or Sp. Defense, whichever is lower.
	type: Bug
	category: Physical
	power: 120
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Comet Punch
	description: The target is hit with a flurry of punches that strike two to five times in a row.
	type: Normal
	category: Physical
	power: 18
	accuracy: 85
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Conversion
	description: The user changes its type to become the same type as the move at the top of the list of moves it knows.
	type: Normal
	category: Status
	power: 0
	accuracy: 101
	target: self
	crit: 0
	priority: 0
	drain: False
	effects: []
Conversion 2
	description: The user changes its type to make itself resistant to the type of the attack the opponent used last.
	type: Normal
	category: Status
	power: 0
	accuracy: 101
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Copycat
	description: The user mimics the move used immediately before it. The move fails if no other move has been used yet.
	type: Normal
	category: Status
	power: 0
	accuracy: 101
	target: self
	crit: 0
	priority: 0
	drain: False
	effects: []
Core Enforcer
	description: This move eliminates the effect of the target's Ability.
	type: Dragon
	category: Special
	power: 100
	accuracy: 100
	target: allAdjacentFoes
	crit: 0
	priority: 0
	drain: False
	effects: []
Corrosive Gas
	description: 
	type: Poison
	category: Status
	power: 0
	accuracy: 100
	target: allAdjacent
	crit: 0
	priority: 0
	drain: False
	effects: []
Counter
	description: A retaliation move that counters any physical attack, inflicting double the damage taken.
	type: Fighting
	category: Physical
	power: 0
	accuracy: 100
	target: scripted
	crit: 0
	priority: -5
	drain: False
	effects: []
Court Change
	description: 
	type: Normal
	category: Status
	power: 0
	accuracy: 100
	target: all
	crit: 0
	priority: 0
	drain: False
	effects: []
Covet
	description: The user endearingly approaches the target, then steals the target's held item.
	type: Normal
	category: Physical
	power: 60
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Crabhammer
	description: The target is hammered with a large pincer. Critical hits land more easily.
	type: Water
	category: Physical
	power: 100
	accuracy: 90
	target: normal
	crit: 1
	priority: 0
	drain: False
	effects: []
Crafty Shield
	description: The user protects itself and its allies from status moves with a mysterious power. This does not stop moves that do damage.
	type: Fairy
	category: Status
	power: 0
	accuracy: 101
	target: allySide
	crit: 0
	priority: 3
	drain: False
	effects: []
Creeping Despair
	description: Feeding on the target's negativity, the user inflicts mental damage onto the target. Deals 1.5x damage if the foe has a stat drop.
	type: Dark
	category: Special
	power: 85
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Cross Chop
	description: The user delivers a double chop with its forearms crossed. Critical hits land more easily.
	type: Fighting
	category: Physical
	power: 100
	accuracy: 80
	target: normal
	crit: 1
	priority: 0
	drain: False
	effects: []
Crush Grip
	description: The target is crushed with great force. The more HP the target has left, the greater this move's power. Maximum power is 180.
	type: Normal
	category: Physical
	power: 0
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Cursed Roots
	description: The user drains the target's energy with its roots. The user's HP is restored by half the damage taken by the target.
	type: Ghost
	category: Physical
	power: 75
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: True
	effects: []
Cut
	description: The target is cut with a scythe or claw.
	type: Normal
	category: Physical
	power: 50
	accuracy: 95
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Darkest Lariat
	description: The user swings both arms and hits the target. The target's stat changes don't affect this attack's damage.
	type: Dark
	category: Physical
	power: 85
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Dazzling Gleam
	description: The user damages opposing Pokémon by emitting a powerful flash.
	type: Fairy
	category: Special
	power: 80
	accuracy: 100
	target: allAdjacentFoes
	crit: 0
	priority: 0
	drain: False
	effects: []
Defog
	description: A strong wind blows away the target's barriers such as Reflect or Light Screen. This also lowers the target's evasiveness.
	type: Flying
	category: Status
	power: 0
	accuracy: 101
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Dig
	description: The user burrows, then attacks on the next turn.
	type: Ground
	category: Physical
	power: 80
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Disarming Voice
	description: Letting out a charming cry, the user does emotional damage to opposing Pokémon. This attack never misses.
	type: Fairy
	category: Special
	power: 60
	accuracy: 101
	target: allAdjacentFoes
	crit: 0
	priority: 0
	drain: False
	effects: []
Dive
	description: Diving on the first turn, the user floats up and attacks on the next turn.
	type: Water
	category: Physical
	power: 80
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Doom Desire
	description: Two turns after this move is used, a concentrated bundle of light blasts the target.
	type: Steel
	category: Special
	power: 140
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Double Hit
	description: The user slams the target with a long tail, vines, or a tentacle. The target is hit twice in a row.
	type: Normal
	category: Physical
	power: 35
	accuracy: 90
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Double Kick
	description: The target is quickly kicked twice in succession using both feet.
	type: Fighting
	category: Physical
	power: 30
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Double Slap
	description: The target is slapped repeatedly, back and forth, two to five times in a row.
	type: Normal
	category: Physical
	power: 15
	accuracy: 85
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Dragon Claw
	description: The user slashes the target with huge sharp claws.
	type: Dragon
	category: Physical
	power: 80
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Dragon Darts
	description: 
	type: Dragon
	category: Physical
	power: 50
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Dragon Energy
	description: 
	type: Dragon
	category: Special
	power: 150
	accuracy: 100
	target: allAdjacentFoes
	crit: 0
	priority: 0
	drain: False
	effects: []
Dragon Pulse
	description: The target is attacked with a shock wave generated by the user's gaping mouth.
	type: Dragon
	category: Special
	power: 85
	accuracy: 100
	target: any
	crit: 0
	priority: 0
	drain: False
	effects: []
Dragon Rage
	description: This attack hits the target with a shock wave of pure rage. This attack always inflicts 40 HP damage.
	type: Dragon
	category: Special
	power: 0
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Dragon Roll
	description: The user rolls into the foe with any resources it has accumulated. The move's power increases by 40 per Stockpile.
	type: Dragon
	category: Physical
	power: 0
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Dragon Tail
	description: The target is knocked away, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon.
	type: Dragon
	category: Physical
	power: 60
	accuracy: 90
	target: normal
	crit: 0
	priority: -6
	drain: False
	effects: []
Draining Kiss
	description: The user steals the target's HP with a kiss. The user's HP is restored by over half of the damage taken by the target.
	type: Fairy
	category: Special
	power: 50
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: True
	effects: []
Drain Punch
	description: An energy-draining punch. The user's HP is restored by half the damage taken by the target.
	type: Fighting
	category: Physical
	power: 75
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: True
	effects: []
Dream Eater
	description: The user eats the dreams of a sleeping target. It absorbs half the damage caused to heal its own HP.
	type: Psychic
	category: Special
	power: 100
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: True
	effects: []
Drill Peck
	description: A corkscrewing attack with a sharp beak acting as a drill.
	type: Flying
	category: Physical
	power: 80
	accuracy: 100
	target: any
	crit: 0
	priority: 0
	drain: False
	effects: []
Drill Run
	description: The user crashes into its target while rotating its body like a drill. Critical hits land more easily.
	type: Ground
	category: Physical
	power: 80
	accuracy: 95
	target: normal
	crit: 1
	priority: 0
	drain: False
	effects: []
Dry Pass
	description: The user switches places with a party Pokémon in waiting.
	type: Normal
	category: Status
	power: 0
	accuracy: 101
	target: self
	crit: 0
	priority: 0
	drain: False
	effects: []
Dual Chop
	description: The user attacks its target by hitting it with brutal strikes. The target is hit twice in a row.
	type: Dragon
	category: Physical
	power: 40
	accuracy: 90
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Dual Wingbeat
	description: 
	type: Flying
	category: Physical
	power: 40
	accuracy: 90
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Dynamax Cannon
	description: 
	type: Dragon
	category: Special
	power: 100
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Earthquake
	description: The user sets off an earthquake that strikes every Pokémon around it.
	type: Ground
	category: Physical
	power: 100
	accuracy: 100
	target: allAdjacent
	crit: 0
	priority: 0
	drain: False
	effects: []
Echoed Voice
	description: The user attacks the target with an echoing voice. If this move is used every turn, its power is increased.
	type: Normal
	category: Special
	power: 40
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Egg Bomb
	description: A large egg is hurled at the target with maximum force to inflict damage.
	type: Normal
	category: Physical
	power: 120
	accuracy: 85
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Electric Terrain
	description: The user electrifies the ground for five turns, powering up Electric-type moves. Pokémon on the ground no longer fall asleep.
	type: Electric
	category: Status
	power: 0
	accuracy: 101
	target: all
	crit: 0
	priority: 0
	drain: False
	effects: []
Electro Ball
	description: The user hurls an electric orb at the target. The faster the user is than the target, the greater the move's power.
	type: Electric
	category: Special
	power: 0
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Endeavor
	description: This attack move cuts down the target's HP to equal the user's HP.
	type: Normal
	category: Physical
	power: 0
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Entrainment
	description: The user dances with an odd rhythm that compels the target to mimic it, making the target's Ability the same as the user's.
	type: Normal
	category: Status
	power: 0
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Eruption
	description: The user attacks opposing Pokémon with explosive fury. The lower the user's HP, the lower the move's power.
	type: Fire
	category: Special
	power: 150
	accuracy: 100
	target: allAdjacentFoes
	crit: 0
	priority: 0
	drain: False
	effects: []
Expanding Force
	description: 
	type: Psychic
	category: Special
	power: 80
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Explosion
	description: The user attacks everything around it by causing a tremendous explosion. The user faints upon using this move.
	type: Normal
	category: Physical
	power: 250
	accuracy: 100
	target: allAdjacent
	crit: 0
	priority: 0
	drain: False
	effects: []
Extreme Speed
	description: The user charges the target at blinding speed. This move always goes first.
	type: Normal
	category: Physical
	power: 80
	accuracy: 100
	target: normal
	crit: 0
	priority: 2
	drain: False
	effects: []
Facade
	description: This attack move doubles its power if the user is poisoned, burned, or paralyzed.
	type: Normal
	category: Physical
	power: 70
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Fairy Lock
	description: By locking down the battlefield, the user keeps all Pokémon from fleeing during the next turn.
	type: Fairy
	category: Status
	power: 0
	accuracy: 101
	target: all
	crit: 0
	priority: 0
	drain: False
	effects: []
Fairy Wind
	description: The user stirs up a fairy wind and strikes the target with it.
	type: Fairy
	category: Special
	power: 40
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
False Surrender
	description: 
	type: Dark
	category: Physical
	power: 80
	accuracy: 101
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
False Swipe
	description: A restrained attack that prevents the target from fainting. The target is left with at least 1 HP.
	type: Normal
	category: Physical
	power: 40
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Feint
	description: This attack hits a target using a move such as Protect or Detect. This also lifts the effects of those moves.
	type: Normal
	category: Physical
	power: 30
	accuracy: 100
	target: normal
	crit: 0
	priority: 2
	drain: False
	effects: []
Feint Attack
	description: The user approaches the target disarmingly, then throws a sucker punch. This attack never misses.
	type: Dark
	category: Physical
	power: 60
	accuracy: 101
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Fell Stinger
	description: When the user knocks out a target with this move, the user's Attack stat rises drastically.
	type: Bug
	category: Physical
	power: 50
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Final Gambit
	description: The user risks everything to attack its target. The user faints but does damage equal to its HP.
	type: Fighting
	category: Special
	power: 0
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Fire Pledge
	description: A column of fire hits the target. When used with its grass equivalent, its power increases and a vast sea of fire appears.
	type: Fire
	category: Special
	power: 80
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
First Impression
	description: Although this move has great power, it only works the first turn the user is in battle.
	type: Bug
	category: Physical
	power: 90
	accuracy: 100
	target: normal
	crit: 0
	priority: 2
	drain: False
	effects: []
Fishious Rend
	description: 
	type: Water
	category: Physical
	power: 85
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Fissure
	description: The user opens up a fissure in the ground and drops the target in. The target faints instantly if this attack hits.
	type: Ground
	category: Physical
	power: 0
	accuracy: 30
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Flail
	description: The user flails about aimlessly to attack. The less HP the user has, the greater the move's power.
	type: Normal
	category: Physical
	power: 0
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Flame Burst
	description: The user attacks the target with a bursting flame. The bursting flame damages Pokémon next to the target as well.
	type: Fire
	category: Special
	power: 70
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Fling
	description: The user flings its held item at the target to attack. This move's power and effects depend on the item.
	type: Dark
	category: Physical
	power: 0
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Flip Turn
	description: 
	type: Water
	category: Physical
	power: 60
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Floral Healing
	description: The user restores the target's HP by up to half of its max HP. It restores more HP when the terrain is grass.
	type: Fairy
	category: Status
	power: 0
	accuracy: 101
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Flora Power
	description: This attack's effects vary depending on Cherrim's forme.Base forme = Biddy Bud. Sunshine forme = Fiery Blossom. Primal forme = Precipice Blades.
	type: Normal
	category: Status
	power: 0
	accuracy: 101
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Flower Shield
	description: The user raises the Defense stat of all Grass-type Pokémon in battle with a mysterious power.
	type: Fairy
	category: Status
	power: 0
	accuracy: 101
	target: all
	crit: 0
	priority: 0
	drain: False
	effects: []
Flutter Strike
	description: The user tackles the opponent with increased speed by rapidly fluttering its wings.
	type: Flying
	category: Physical
	power: 90
	accuracy: 100
	target: any
	crit: 0
	priority: 0
	drain: False
	effects: []
Fly
	description: The user soars and then strikes its target on the next turn.
	type: Flying
	category: Physical
	power: 90
	accuracy: 95
	target: any
	crit: 0
	priority: 0
	drain: False
	effects: []
Flying Press
	description: The user dives down onto the target from the sky. This move is super effective against Flying-types.
	type: Fighting
	category: Physical
	power: 80
	accuracy: 95
	target: any
	crit: 0
	priority: 0
	drain: False
	effects: []
Focus Punch
	description: The user focuses its mind before launching a punch. This move fails if the user is hit before it is used.
	type: Fighting
	category: Physical
	power: 150
	accuracy: 100
	target: normal
	crit: 0
	priority: -3
	drain: False
	effects: []
Foul Play
	description: The user turns the target's power against it. The higher the target's Attack stat, the greater the move's power.
	type: Dark
	category: Physical
	power: 95
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Freezy Frost
	description: 
	type: Ice
	category: Special
	power: 100
	accuracy: 90
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Frost Breath
	description: The user blows its cold breath on the target. This attack always results in a critical hit.
	type: Ice
	category: Special
	power: 60
	accuracy: 90
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Frustration
	description: This full-power attack grows more powerful the less the user likes its Trainer.
	type: Normal
	category: Physical
	power: 0
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Fury Attack
	description: The target is jabbed repeatedly with a horn or beak two to five times in a row.
	type: Normal
	category: Physical
	power: 15
	accuracy: 85
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Fury Cutter
	description: The target is slashed with scythes or claws. This attack becomes more powerful if it hits in succession.
	type: Bug
	category: Physical
	power: 40
	accuracy: 95
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Fury Swipes
	description: The target is raked with sharp claws or scythes quickly two to five times in a row.
	type: Normal
	category: Physical
	power: 18
	accuracy: 80
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Fusion Bolt
	description: The user throws down a giant lightning bolt. This move's power is increased when influenced by an enormous flame.
	type: Electric
	category: Physical
	power: 100
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
